month,tragedy_type,count
Jan,injured,2604
Feb,injured,2197
Mar,injured,2233
Apr,injured,2648
May,injured,2732
June,injured,2679
July,injured,3018
August,injured,2731
September,injured,2573
October,injured,2742
November,injured,2377
December,injured,2169
January,killed,1356
February,killed,1141
March,killed,1220
April,killed,1231
May,killed,1389
June,killed,1366
July,killed,1391
August,killed,1324
September,killed,1196
October,killed,1305
November,killed,1304
December,killed,1288
January,incident,5258
February,incident,4585
March,incident,4994
April,incident,5577
May,incident,5666
June,incident,5158
July,incident,5547
August,incident,5202
September,incident,4790
October,incident,5200
November,incident,4802
December,incident,4622
