Row Labels,no_injured,no_killed,no_incident
2017,30703,15511,61401
Jan,2604,1356,5258
Alabama,58,40,105
Alaska,5,4,27
Arizona,27,24,49
Arkansas,33,18,67
California,160,115,335
Colorado,30,17,64
Connecticut,30,8,81
Delaware,21,10,45
District of Columbia,24,5,31
Florida,155,90,418
Georgia,93,50,156
Hawaii,2,1,8
Idaho,3,6,12
Illinois,316,84,459
Indiana,61,32,142
Iowa,14,6,49
Kansas,21,7,48
Kentucky,43,26,95
Louisiana,122,50,211
Maine,1,1,10
Maryland,55,52,126
Massachusetts,30,8,154
Michigan,61,32,117
Minnesota,31,6,41
Mississippi,69,22,93
Missouri,52,58,124
Montana,0,4,6
Nebraska,11,10,33
Nevada,27,18,47
New Hampshire,4,1,22
New Jersey,61,27,126
New Mexico,9,7,30
New York,80,23,167
North Carolina,121,44,213
North Dakota,2,3,11
Ohio,117,67,240
Oklahoma,29,32,68
Oregon,10,13,35
Pennsylvania,89,53,175
Rhode Island,10,0,21
South Carolina,60,30,127
South Dakota,5,1,11
Tennessee,109,42,159
Texas,160,119,318
Utah,9,4,15
Vermont,1,2,4
Virginia,94,42,173
Washington,36,19,70
West Virginia,8,7,35
Wisconsin,35,16,79
Wyoming,0,0,6
Feb,2197,1141,4585
Alabama,45,40,97
Alaska,9,7,35
Arizona,11,11,29
Arkansas,29,17,56
California,135,102,326
Colorado,26,15,64
Connecticut,15,4,46
Delaware,12,5,25
District of Columbia,21,7,39
Florida,160,76,391
Georgia,71,48,154
Hawaii,0,1,2
Idaho,1,6,10
Illinois,207,74,367
Indiana,62,26,112
Iowa,30,8,56
Kansas,19,13,44
Kentucky,47,27,102
Louisiana,109,39,185
Maine,0,4,14
Maryland,74,32,113
Massachusetts,23,11,121
Michigan,57,29,108
Minnesota,17,10,55
Mississippi,39,36,81
Missouri,49,37,119
Montana,2,0,11
Nebraska,13,0,31
Nevada,20,13,33
New Hampshire,2,1,18
New Jersey,42,12,89
New Mexico,8,9,42
New York,72,19,129
North Carolina,91,36,152
North Dakota,3,1,10
Ohio,133,65,203
Oklahoma,25,21,60
Oregon,6,10,24
Pennsylvania,89,39,163
Rhode Island,7,0,12
South Carolina,79,26,130
South Dakota,0,0,4
Tennessee,81,33,139
Texas,122,106,295
Utah,7,5,13
Vermont,1,0,8
Virginia,68,21,107
Washington,18,13,46
West Virginia,13,7,37
Wisconsin,24,18,67
Wyoming,3,1,11
Mar,2233,1220,4994
Alabama,68,37,121
