state,unique_state,n_incident
Pennsylvania,Alabama,5471
California,Alaska,1349
Ohio,Arizona,2328
Colorado,Arkansas,2842
North Carolina,California,16306
Oklahoma,Colorado,3201
New Mexico,Connecticut,3067
Louisiana,Delaware,1685
California,District of Columbia,3195
Maryland,Florida,15029
Tennessee,Georgia,8925
Missouri,Hawaii,289
Louisiana,Idaho,661
District of Columbia,Illinois,17556
Ohio,Indiana,5852
Tennessee,Iowa,2517
California,Kansas,2145
Illinois,Kentucky,4157
Louisiana,Louisiana,8103
California,Maine,907
Delaware,Maryland,5798
Utah,Massachusetts,5981
California,Michigan,6136
Oklahoma,Minnesota,2408
Michigan,Mississippi,3599
California,Missouri,6631
Georgia,Montana,638
Louisiana,Nebraska,1651
Georgia,Nevada,1952
Michigan,New Hampshire,964
California,New Jersey,5387
Indiana,New Mexico,1645
Mississippi,New York,9712
Missouri,North Carolina,8739
District of Columbia,North Dakota,573
California,Ohio,10244
New York,Oklahoma,3455
California,Oregon,2286
California,Pennsylvania,8929
California,Rhode Island,895
Florida,South Carolina,6939
Illinois,South Dakota,544
Missouri,Tennessee,7626
New York,Texas,13577
California,Utah,1072
Washington,Vermont,472
South Carolina,Virginia,5949
New York,Washington,3434
California,West Virginia,1575
Pennsylvania,Wisconsin,4787
California,Wyoming,494
Arizona,,
Kentucky,,
Ohio,,
Washington,,
Illinois,,
Louisiana,,
Illinois,,
Ohio,,
Florida,,
North Carolina,,
Pennsylvania,,
Tennessee,,
Maryland,,
New Jersey,,
North Carolina,,
California,,
Pennsylvania,,
California,,
Indiana,,
Pennsylvania,,
New Jersey,,
Arizona,,
Louisiana,,
Ohio,,
New Jersey,,
Michigan,,
Pennsylvania,,
New York,,
Virginia,,
Tennessee,,
Michigan,,
Illinois,,
Tennessee,,
California,,
Michigan,,
Virginia,,
Tennessee,,
Illinois,,
Georgia,,
Wisconsin,,
California,,
Indiana,,
Virginia,,
Georgia,,
California,,
Pennsylvania,,
Missouri,,
Illinois,,
North Carolina,,
Rhode Island,,
Tennessee,,
Texas,,
Illinois,,
Illinois,,
Virginia,,
North Carolina,,
Maryland,,
Rhode Island,,
Tennessee,,
California,,
Missouri,,
Louisiana,,
Virginia,,
Missouri,,
Illinois,,
California,,
Illinois,,
South Carolina,,
New York,,
Colorado,,
New York,,
Texas,,
New Jersey,,
Illinois,,
Michigan,,
New York,,
Alabama,,
Illinois,,
Mississippi,,
California,,
Florida,,
Maryland,,
Illinois,,
North Carolina,,
California,,
Kentucky,,
Ohio,,
District of Columbia,,
Oklahoma,,
New Jersey,,
Michigan,,
Kansas,,
California,,
California,,
Connecticut,,
New York,,
New York,,
Kansas,,
Michigan,,
West Virginia,,
Florida,,
Texas,,
Washington,,
New Mexico,,
Indiana,,
New Jersey,,
Michigan,,
California,,
Missouri,,
Pennsylvania,,
Pennsylvania,,
New Jersey,,
Texas,,
Missouri,,
Delaware,,
New York,,
Virginia,,
Pennsylvania,,
Oklahoma,,
Pennsylvania,,
California,,
New Jersey,,
Ohio,,
South Carolina,,
Illinois,,
Illinois,,
Maryland,,
New Jersey,,
South Carolina,,
Minnesota,,
Florida,,
California,,
North Carolina,,
Missouri,,
Indiana,,
Connecticut,,
New York,,
Tennessee,,
District of Columbia,,
North Carolina,,
Colorado,,
Georgia,,
Washington,,
District of Columbia,,
California,,
Michigan,,
Nevada,,
Florida,,
Tennessee,,
Illinois,,
California,,
Texas,,
Florida,,
Missouri,,
Michigan,,
Kansas,,
West Virginia,,
North Carolina,,
Ohio,,
Illinois,,
Nebraska,,
Indiana,,
California,,
New York,,
Arizona,,
Pennsylvania,,
New Jersey,,
Texas,,
Oklahoma,,
Pennsylvania,,
Pennsylvania,,
Florida,,
Florida,,
Pennsylvania,,
Connecticut,,
Florida,,
Arizona,,
Texas,,
California,,
North Carolina,,
California,,
South Carolina,,
Kentucky,,
California,,
California,,
District of Columbia,,
Florida,,
Michigan,,
Texas,,
Ohio,,
Arizona,,
New York,,
Texas,,
Texas,,
Pennsylvania,,
Pennsylvania,,
Pennsylvania,,
Oklahoma,,
California,,
Minnesota,,
New York,,
Indiana,,
California,,
Georgia,,
Michigan,,
Florida,,
Pennsylvania,,
Kansas,,
Delaware,,
Pennsylvania,,
North Carolina,,
Texas,,
Florida,,
New Jersey,,
North Carolina,,
Michigan,,
New York,,
New Jersey,,
New Jersey,,
Louisiana,,
Louisiana,,
Alabama,,
California,,
New Jersey,,
Ohio,,
New York,,
California,,
Michigan,,
New Jersey,,
New York,,
New York,,
Missouri,,
Georgia,,
New York,,
Kentucky,,
Georgia,,
Virginia,,
Pennsylvania,,
Virginia,,
South Carolina,,
Maryland,,
Delaware,,
Colorado,,
South Carolina,,
Missouri,,
Alabama,,
New Jersey,,
Louisiana,,
Utah,,
Indiana,,
Louisiana,,
Illinois,,
New York,,
Colorado,,
New York,,
Texas,,
Nebraska,,
South Carolina,,
Texas,,
Massachusetts,,
Virginia,,
Florida,,
Florida,,
Louisiana,,
Alabama,,
Mississippi,,
New Jersey,,
South Carolina,,
Wisconsin,,
Alabama,,
Arizona,,
Hawaii,,
Washington,,
Florida,,
Florida,,
Florida,,
Kentucky,,
Florida,,
Ohio,,
Kansas,,
Indiana,,
Louisiana,,
Maryland,,
District of Columbia,,
West Virginia,,
Massachusetts,,
Georgia,,
Texas,,
Wisconsin,,
New Hampshire,,
Florida,,
Rhode Island,,
North Carolina,,
Arizona,,
Florida,,
Ohio,,
North Carolina,,
Pennsylvania,,
New York,,
Maryland,,
Virginia,,
Texas,,
California,,
Maryland,,
Kentucky,,
California,,
California,,
Texas,,
Washington,,
Oklahoma,,
Illinois,,
North Carolina,,
New Jersey,,
New Jersey,,
New Jersey,,
Washington,,
New Jersey,,
Washington,,
Georgia,,
Mississippi,,
New York,,
Missouri,,
Mississippi,,
Virginia,,
South Carolina,,
South Carolina,,
Connecticut,,
Kentucky,,
Illinois,,
North Carolina,,
New York,,
Oklahoma,,
Alabama,,
Georgia,,
Pennsylvania,,
Iowa,,
New Jersey,,
Indiana,,
